global_mass,global_volume,global_width,global_length,global_surface_area,global_divide,global_dead,cell_counts_AcrAB-TolC_RNA,cell_counts_AcrAB-TolC,cell_AcrAB-TolC_RNA,cell_AcrAB-TolC,cell_antibiotic,cell_porin,external_antibiotic,fluxes_import,time
2437.3655301321323,2.2157868455746665e-15,1.0,3.1545607678229834,9.124946770097814,0.0,0.0,1334.0,1166676.0,0.001,0.874322627499429,0.27067723378079916,1e-20,1.000400512821319,0.0,2074.0
2438.069570563499,2.216426882330454e-15,1.0,3.155375687930536,9.127506917120963,0.0,0.0,1334.0,1167181.0,0.001,0.8744483048719296,0.2705416578508025,1e-20,1.0004008126491621,0.0,2075.0
2438.773814359081,2.2170671039628014e-15,1.0,3.1561908434302355,9.130067803650352,0.0,0.0,1335.0,1167686.0,0.001,0.8745738565670577,0.2704061092752306,1e-20,1.0004011124768695,0.0,2076.0
2439.4782615776207,2.2177075105251103e-15,1.0,3.1570062343900753,9.132629429899588,0.0,0.0,1335.0,1168191.0,0.001,0.8746992827104906,0.27027058809221965,1e-20,1.000401412304441,0.0,2077.0
2440.182912277878,2.2183481020707987e-15,1.0,3.157821860878069,9.135191796082342,0.0,0.0,1335.0,1168696.0,0.001,0.8748245834277801,0.2701350943398529,1e-20,1.0004017121318765,0.0,2078.0
2440.8877665186287,2.2189888786532997e-15,1.0,3.1586377229622493,9.137754902412347,0.0,0.0,1336.0,1169200.0,0.001,0.8749497588443523,0.26999962805616096,1e-20,1.0004020119591763,0.0,2079.0
2441.5928243586663,2.219629840326061e-15,1.0,3.1594538207106684,9.14031874910339,0.0,0.0,1336.0,1169705.0,0.001,0.8750748090855079,0.2698641892791217,1e-20,1.0004023117863403,0.0,2080.0
2442.298085856801,2.2202709871425473e-15,1.0,3.1602701541914,9.142883336369337,0.0,0.0,1337.0,1170210.0,0.001,0.8751997342764224,0.26972877804666034,1e-20,1.0004026116133686,0.0,2081.0
2443.0035510718603,2.2209123191562375e-15,1.0,3.161086723472535,9.145448664424098,0.0,0.0,1337.0,1170715.0,0.001,0.875324534542146,0.2695933943966495,1e-20,1.0004029114402613,0.0,2082.0
2443.709220062688,2.2215538364206258e-15,1.0,3.161903528622185,9.148014733481652,0.0,0.0,1337.0,1171220.0,0.001,0.8754492100076038,0.2694580383669091,1e-20,1.0004032112670183,0.0,2083.0
2444.4150928881454,2.222195538989224e-15,1.0,3.1627205697084815,9.150581543756044,0.0,0.0,1338.0,1171725.0,0.001,0.8755737607975962,0.2693227099952067,1e-20,1.0004035110936396,0.0,2084.0
2445.1211696071114,2.2228374269155567e-15,1.0,3.1635378467995765,9.153149095461373,0.0,0.0,1338.0,1172230.0,0.001,0.8756981870367986,0.269187409319257,1e-20,1.0004038109201252,0.0,2085.0
2445.8274502784807,2.223479500253165e-15,1.0,3.16435535996364,9.155717388811809,0.0,0.0,1339.0,1172735.0,0.001,0.8758224888497618,0.26905213637672243,1e-20,1.0004041107464752,0.0,2086.0
2446.5339349611654,2.2241217590556053e-15,1.0,3.1651731092688613,9.15828642402157,0.0,0.0,1339.0,1173240.0,0.001,0.875946666360912,0.2689168912052129,1e-20,1.0004044105726897,0.0,2087.0
2447.2406237140954,2.224764203376451e-15,1.0,3.165991094783452,9.160856201304952,0.0,0.0,1339.0,1173745.0,0.001,0.8760707196945511,0.2687816738422859,1e-20,1.0004047103987685,0.0,2088.0
2447.9475165962162,2.225406833269288e-15,1.0,3.166809316575641,9.163426720876299,0.0,0.0,1340.0,1174250.0,0.001,0.8761946489748565,0.2686464843254465,1e-20,1.000405010224712,0.0,2089.0
2448.654613666492,2.2260496487877208e-15,1.0,3.1676277747136794,9.165997982950032,0.0,0.0,1340.0,1174756.0,0.001,0.8763184543258817,0.2685113226921474,1e-20,1.00040531005052,0.0,2090.0
2449.3619149839024,2.2266926499853664e-15,1.0,3.1684464692658336,9.168569987740613,0.0,0.0,1340.0,1175261.0,0.001,0.8764421358715558,0.2683761889797889,1e-20,1.0004056098761924,0.0,2091.0
2450.0694206074454,2.22733583691586e-15,1.0,3.169265400300395,9.171142735462588,0.0,0.0,1341.0,1175766.0,0.001,0.8765656937356843,0.26824108322571905,1e-20,1.0004059097017295,0.0,2092.0
