"agents,0,boundary,mass","agents,0,boundary,volume","agents,0,boundary,width","agents,0,boundary,length","agents,0,boundary,surface_area","agents,0,internal,protein","agents,1,boundary,mass","agents,1,boundary,volume","agents,1,boundary,width","agents,1,boundary,length","agents,1,boundary,surface_area","agents,1,internal,protein","total_global,mass","total_global,volume",time
1388.0822000047413,1.2606316566302975,1.0,1.9384194099000274,5.30432601432034,39996299.18432058,1388.0821652994755,1.2606315935298138,1.0,1.9384193295579961,5.304325761918404,39996298.18432058,2776.1643653042165,2.5212632501601115,36.0
1389.4709659267937,1.2618929090952193,1.0,1.9400252864142606,5.309371024180027,40036315.18432058,1389.4709312215277,1.2618928775449778,1.0,1.9400252462432452,5.30937089797906,40036314.18432058,2778.9418971483215,2.523785786640197,37.0
1390.8611200594837,1.2631554235698126,1.0,1.9416327697691131,5.3144210820784,40076371.18432058,1390.8611200594837,1.2631553920195706,1.0,1.9416327295980975,5.3144209558774325,40076371.18432058,2781.7222401189674,2.526310815589383,38.0
1392.2526971080777,1.2644192000540762,1.0,1.943241859964584,5.319476188015454,40116468.18432058,1392.2526971080777,1.2644192000540762,1.0,1.943241859964584,5.319476188015454,40116468.18432058,2784.5053942161553,2.5288384001081523,39.0
1393.6456623673091,1.2656842700982525,1.0,1.944852597171689,5.324536468192159,40156605.18432058,1393.6456623673091,1.2656842700982525,1.0,1.944852597171689,5.324536468192159,40156605.18432058,2787.2913247346182,2.531368540196505,40.0
1395.0400158371785,1.266950602152099,1.0,1.9464649412194124,5.329601796407546,40196782.18432058,1395.0400158371785,1.266950602152099,1.0,1.9464649412194124,5.329601796407546,40196782.18432058,2790.080031674357,2.533901204304198,41.0
1396.4357575176857,1.268218196215617,1.0,1.9480788921077548,5.334672172661618,40236999.18432058,1396.4357228124195,1.268218196215617,1.0,1.9480788921077548,5.334672172661618,40236998.18432058,2792.8714803301054,2.536436392431234,42.0
1397.8328874088306,1.269487052288805,1.0,1.9496944498367155,5.33974759695437,40277256.18432058,1397.8328874088306,1.2694870207385631,1.0,1.9496944096656996,5.339747470753402,40277256.18432058,2795.6657748176613,2.538974073027368,43.0
1399.2314402158793,1.2707571703716642,1.0,1.9513116144062947,5.344828069285807,40317554.18432058,1399.2314402158793,1.2707571703716642,1.0,1.9513116144062947,5.344828069285807,40317554.18432058,2798.4628804317585,2.5415143407433285,44.0
1400.6313812335657,1.2720285820144357,1.0,1.9529304259875082,5.349913715856893,40357892.18432058,1400.6313465283,1.2720285820144357,1.0,1.9529304259875082,5.349913715856893,40357891.18432058,2801.262727761866,2.5440571640288714,45.0
