internal_EIIglc,internal_g6p_c,internal_pep_c,internal_pyr_c,internal_LacY,internal_lcts_p,external_glc__D_e,external_lcts_e,global_volume,global_width,global_length,global_surface_area,time
0.0018,0.0,0.18,0.0,0.0,0.0,1.0,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,0.0
0.0018,0.054,0.126,0.054,0.0,0.0,0.9934267562084691,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,1.0
0.0018,0.10782193719250674,0.07217806280749325,0.10782193719250674,0.0,0.0,0.9868752654783678,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,2.0
0.0018,0.1614652285070234,0.01853477149297659,0.1614652285070234,0.0,0.0,0.9803455278096961,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,3.0
0.0018,0.21492929097320815,-0.03492929097320814,0.21492929097320815,0.0,0.0,0.973837543202454,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,4.0
0.0018,0.26821354176075,-0.08821354176075,0.26821354176075,0.0,0.0,0.9673514777105454,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,5.0
0.0018,0.32131740285338906,-0.141317402853389,0.32131740285338906,0.0,0.0,0.9608873313339705,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,6.0
0.0018,0.3742402965483936,-0.19424029654839353,0.3742402965483936,0.0,0.0,0.9544452701266334,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,7.0
0.0018,0.4269816501944834,-0.2469816501944834,0.4269816501944834,0.0,0.0,0.9480252940885339,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,8.0
0.0018,0.4795408916336289,-0.2995408916336289,0.4795408916336289,0.0,0.0,0.9416274032196721,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,9.0
0.0018,0.531917449246634,-0.351917449246634,0.531917449246634,0.0,0.0,0.935251763573952,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,10.0
0.0018,0.5841107567878969,-0.40411075678789693,0.5841107567878969,0.0,0.0,0.9288985412052777,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,11.0
0.0018,0.6361202535587763,-0.4561202535587764,0.6361202535587763,0.0,0.0,0.9225675700597451,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,12.0
0.0018,0.6879453748799251,-0.5079453748799252,0.6879453748799251,0.0,0.0,0.9162591822451623,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,13.0
0.0018,0.7395855666657445,-0.5595855666657445,0.7395855666657445,0.0,0.0,0.9099732117076254,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,14.0
0.0018,0.7910402709841146,-0.6110402709841146,0.7910402709841146,0.0,0.0,0.9037098245010381,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,15.0
0.0018,0.8423089358772493,-0.6623089358772494,0.8423089358772493,0.0,0.0,0.8974691866793048,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,16.0
0.0018,0.8933910155451636,-0.7133910155451637,0.8933910155451636,0.0,0.0,0.8912511321885211,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,17.0
0.0018,0.9442859605041526,-0.7642859605041527,0.9442859605041526,0.0,0.0,0.8850559931364955,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,18.0
0.0018,0.9949932326524448,-0.8149932326524448,0.9949932326524448,0.0,0.0,0.8788836034693237,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,19.0
0.0018,1.0455122903521448,-0.8655122903521448,1.0455122903521448,0.0,0.0,0.8727341292409098,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,20.0
0.0018,1.0958425985824025,-0.9158425985824026,1.0958425985824025,0.0,0.0,0.8666075704512537,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,21.0
0.0018,1.1459836239861028,-0.9659836239861027,1.1459836239861028,0.0,0.0,0.8605040931542596,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,22.0
0.0018,1.1959348401122123,-1.0159348401122124,1.1959348401122123,0.0,0.0,0.8544236973499274,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,23.0
0.0018,1.2456957223990717,-1.0656957223990717,1.2456957223990717,0.0,0.0,0.8483665490921612,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,24.0
0.0018,1.2952657534878484,-1.1152657534878485,1.2952657534878484,0.0,0.0,0.8423326483809611,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,25.0
0.0018,1.3446444181416446,-1.1646444181416447,1.3446444181416446,0.0,0.0,0.8363219952163269,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,26.0
0.0018,1.3938312033125768,-1.2138312033125769,1.3938312033125768,0.0,0.0,0.8303347556521627,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,27.0
0.0018,1.442825603562864,-1.262825603562864,1.442825603562864,0.0,0.0,0.8243709296884686,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,28.0
0.0018,1.491627115885557,-1.311627115885557,1.491627115885557,0.0,0.0,0.8184305173252444,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,29.0
0.0018,1.5402352397753503,-1.3602352397753503,1.5402352397753503,0.0,0.0,0.8125136846163944,1.0,1.2172727272727275,1.0,1.8832131064245905,5.130890296890058,30.0
