internal_porin,internal_AcrAB-TolC,internal_antibiotic,external_antibiotic,fluxes_antibiotic_import,fluxes_antibiotic_export,exchange_antibiotic,global_growth_rate,global_mass,global_volume,global_mmol_to_counts,global_prior_mass,global_density,time
1.0,1.0,6.25e-05,0.9999252757419772,6.25e-05,0.0,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1.0
1.0,1.0,0.0001249774174049856,0.9998505514839544,6.249824856840606e-05,2.0831163420477037e-08,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,2.0
1.0,1.0,0.00018743226391466672,0.9997758272259316,6.249649697320385e-05,4.165046352272055e-08,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,3.0
1.0,1.0,0.00024986455121877807,0.9997011029679088,6.249474521437036e-05,6.245791025902353e-08,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,4.0
1.0,1.0,0.00031227429099709087,0.999626378709886,6.24929932918827e-05,8.325351356991681e-08,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,5.0
1.0,1.0,0.00037466149491942465,0.9995516544518632,6.249124120571795e-05,1.0403728338418688e-07,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,6.0
1.0,1.0,0.0004370261746456589,0.9994769301938404,6.248948895585315e-05,1.2480922961889362e-07,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,7.0
1.0,1.0,0.0004993683418257448,0.9994022059358176,6.248773654226536e-05,1.4556936217938817e-07,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,8.0
1.0,1.0,0.0005616880080997172,0.9993274816777948,6.248598396493162e-05,1.6631769095933055e-07,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,9.0
1.0,1.0,0.0006239851850977055,0.999252757419772,6.248423122382902e-05,1.8705422584070722e-07,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,10.0
1.0,1.0,0.0006862598844399461,0.9991780331617492,6.248247831893455e-05,2.07778976693849e-07,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,11.0
1.0,1.0,0.000748512117736794,0.9991033089037265,6.24807252502253e-05,2.2849195337744828e-07,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,12.0
1.0,1.0,0.0008107418965887336,0.9990285846457037,6.247897201767825e-05,2.4919316573857717e-07,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,13.0
1.0,1.0,0.0008729492325863914,0.9989538603876809,6.247721862127049e-05,2.698826236127044e-07,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,14.0
1.0,1.0,0.0009351341373105466,0.9988791361296581,6.247546506097903e-05,2.905603368237133e-07,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,15.0
1.0,1.0,0.0009972966223321437,0.9988044118716353,6.247371133678086e-05,3.112263151839191e-07,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,16.0
1.0,1.0,0.0010594366992123026,0.9987296876136125,6.247195744865304e-05,3.318805684940866e-07,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,17.0
